new_10_Char,10 char .phy format name,Original fasta header,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAAAAAABJF,817sp|P340,sp|P34073|3L2D_ACAAN AlphaelapitoxinAa2d OS=Acanthophis antarcticus OX=8605 PE=1 SV=1,AlphaelapitoxinAa2d ,3FTx,Acanthophis antarcticus ,Elapidae
AAAAAAABJG,819sp|P013,sp|P01385|3L21_ACAAN AlphaelapitoxinAa2b OS=Acanthophis antarcticus OX=8605 PE=1 SV=1,AlphaelapitoxinAa2b ,3FTx,Acanthophis antarcticus ,Elapidae
AAAAAAABJI,821sp|P0DK,sp|P0DKW9|3L22E_ACAAN AlphaelapitoxinAa2e OS=Acanthophis antarcticus OX=8605 PE=1 SV=1,AlphaelapitoxinAa2e ,3FTx,Acanthophis antarcticus ,Elapidae
AAAAAAABMA,949sp|P014,sp|P01434|3S11_ACAAN Short neurotoxin 1 OS=Acanthophis antarcticus OX=8605 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Acanthophis antarcticus ,Elapidae
AAAAAAAABC,Ahaetulla_prasina_A0A346CLY6,Ahaetulla_prasina_A0A346CLY6,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAABD,Ahaetulla_prasina_A0A193CHL3,Ahaetulla_prasina_A0A193CHL3,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAABE,Ahaetulla_prasina_A0A346CLY7,Ahaetulla_prasina_A0A346CLY7,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADG,Ahaetulla_prasina_A0A346CLY8,Ahaetulla_prasina_A0A346CLY8,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADH,Ahaetulla_prasina_A0A193CHL5,Ahaetulla_prasina_A0A193CHL5,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADI,Ahaetulla_prasina_A0A346CLZ1,Ahaetulla_prasina_A0A346CLZ1,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADJ,Ahaetulla_prasina_A0A346CLZ0,Ahaetulla_prasina_A0A346CLZ0,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADK,Ahaetulla_prasina_A0A346CM25,Ahaetulla_prasina_A0A346CM25,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAAADL,Ahaetulla_prasina_A0A346CM15,Ahaetulla_prasina_A0A346CM15,-,3FTx,Ahaetulla prasina ,Colubridae
AAAAAAABMB,951sp|P199,sp|P19959|3S12_AIPLA Short neurotoxin B OS=Aipysurus laevis OX=8678 PE=1 SV=1,Short neurotoxin B ,3FTx,Aipysurus laevis ,Elapidae
AAAAAAABMC,953sp|P199,sp|P19960|3S14_AIPLA Short neurotoxin D OS=Aipysurus laevis OX=8678 PE=3 SV=1,Short neurotoxin D ,3FTx,Aipysurus laevis ,Elapidae
AAAAAAABMD,955sp|P328,sp|P32879|3S11_AIPLA Short neurotoxin A OS=Aipysurus laevis OX=8678 PE=1 SV=1,Short neurotoxin A ,3FTx,Aipysurus laevis ,Elapidae
AAAAAAABME,957sp|P199,sp|P19958|3S13_AIPLA Short neurotoxin C OS=Aipysurus laevis OX=8678 PE=1 SV=1,Short neurotoxin C ,3FTx,Aipysurus laevis ,Elapidae
AAAAAAAAKP,115Alsi_9_,"Alsi_9 Alligator sinensis unplaced genomic scaffold, ASM45574v1 scaffold1054_1, whole genome shotgun sequence",-,Ly-6,Alligator sinensis,Crocodilia
